AID,Sex,MinAge,SurveyDate,avg TOO_TOHcm,avg TOH_NIcm,avg NI_FBHcm,TH,VTB_Umb,age_class_mid_mo,age_months_initial,age_months,VTB_Umb_Flag,age_at_first_months
1137.0,F,A,2015-05-21,11.7,192.7,,,0.0,60.0,60.0,96.05263157894737,Umb=0,60.0
1138.0,F,SA,2012-05-20,13.9,160.5,,,0.0,10.5,10.5,15.168667087402492,Umb=0,15.168667087402492
1138.0,F,SA,2013-05-18,13.2,138.5,,,0.0,10.5,10.5,27.109456561086702,Umb=0,15.168667087402492
1138.0,F,SA,2014-02-09,14.2,140.0,,,0.0,10.5,10.5,35.892351297928805,Umb=0,15.168667087402492
1138.0,F,SA,2017-01-22,19.9,165.4,,,0.0,10.5,10.5,71.35287761371829,Umb=0,15.168667087402492
1138.0,F,SA,2018-01-24,17.7,138.2,,,0.0,10.5,10.5,83.42524603477092,Umb=0,15.168667087402492
1138.0,F,SA,2018-05-22,17.9,177.4,,,0.0,10.5,10.5,87.30682498213935,Umb=0,15.168667087402492
1139.0,F,SA,2013-01-21,17.3,154.8,,,0.0,10.5,10.5,10.5,Umb=0,10.5
1139.0,F,SA,2014-01-19,16.8,158.7,,,0.0,10.5,10.5,22.440789473684212,Umb=0,10.5
1139.0,F,SA,2015-05-21,16.4,169.5,,,0.0,10.5,10.5,38.46052631578948,Umb=0,10.5
1139.0,F,SA,2016-01-21,13.3,170.4,,,0.0,10.5,10.5,46.51973684210527,Umb=0,10.5
1139.0,F,SA,2017-09-19,12.6,169.8,,,0.0,10.5,10.5,66.48684210526315,Umb=0,10.5
1140.0,F,A,2016-01-21,12.65,175.64999999999998,,,0.0,60.0,60.0,60.0,Umb=0,60.0
1140.0,F,A,2016-02-04,14.3,178.2,,,0.0,60.0,60.0,60.46052631578947,Umb=0,60.0
1140.0,F,A,2018-05-22,11.9,181.9,,,0.0,60.0,60.0,88.02631578947368,Umb=0,60.0
1141.0,F,SA,2015-06-03,24.1,176.0,,,0.0,10.5,10.5,10.5,Umb=0,10.5
1142.0,M,C,2012-10-09,13.2,108.5,139.1,259.9,0.0,1.0,1.0,1.0,Umb=0,1.0
1142.0,M,C,2013-05-18,10.3,114.8,,,0.0,1.0,1.0,8.269736842105264,Umb=0,1.0
1142.0,M,C,2014-02-09,57.6,154.8,,,0.0,1.0,1.0,17.05263157894737,Umb=0,1.0
1142.0,M,C,2016-01-21,19.2,156.0,,,0.0,1.0,1.0,40.44078947368421,Umb=0,1.0
1142.0,M,C,2017-05-26,19.7,177.9,,,0.0,1.0,1.0,56.5921052631579,Umb=0,1.0
1142.0,M,C,2017-06-04,15.9,166.6,,,0.0,1.0,1.0,56.88815789473684,Umb=0,1.0
1142.0,M,C,2018-02-03,18.2,189.4,,,0.0,1.0,1.0,64.91447368421052,Umb=0,1.0
1143.0,M,C,2013-09-22,14.3,152.1,,,0.0,1.0,1.0,1.0,Umb=0,1.0
1143.0,M,C,2014-01-19,15.1,112.9,,,0.0,1.0,1.0,4.9144736842105265,Umb=0,1.0
1144.0,F,A,2012-10-09,12.8,166.64999999999998,,,0.0,60.0,60.0,29.89668070819852,Umb=0,29.89668070819852
1144.0,F,A,2013-10-05,12.75,162.95,195.8,368.8,0.0,60.0,60.0,41.77168070819852,Umb=0,29.89668070819852
1144.0,F,A,2014-05-19,17.2,173.9,,,0.0,60.0,60.0,49.20589123451431,Umb=0,29.89668070819852
1144.0,F,A,2015-01-19,16.6,174.60000000000002,,,0.0,60.0,60.0,57.2651017608301,Umb=0,29.89668070819852
1144.0,F,A,2015-02-06,14.8,110.3,,,0.0,60.0,60.0,57.857207023987996,Umb=0,29.89668070819852
1144.0,F,A,2015-05-21,14.4,173.3,,,0.0,60.0,60.0,61.27825965556694,Umb=0,29.89668070819852
