Context,Measurement,Group,Rank,Model,AIC,ΔAIC,Akaike Weight,SSE,N,Selected,Parameters
wild_alignment_seed_avg NI_FBHcm_by_sex,avg NI_FBHcm,F,3,logistic,6597.629028400192,2.045151538684877,0.16464561020495216,741339.666521752,997,,"A=217.8 [215, 220.7]; k=0.05865 [0.0481, 0.06919]; t0=-11.76 [-14.99, -8.541]"
wild_alignment_seed_avg NI_FBHcm_by_sex,avg NI_FBHcm,F,4,gompertz,6598.645125987178,3.0612491256715657,0.09906206308869091,742095.5917253066,997,✓,"A=218.1 [215.2, 221.1]; k=0.05284 [0.04304, 0.06264]; t0=-16.73 [-20.71, -12.75]"
wild_alignment_seed_avg NI_FBHcm_by_sex,avg NI_FBHcm,F,5,von_bertalanffy,6599.052477759169,3.468600897662327,0.08080757148265122,742398.8572397924,997,,"A=218.2 [215.3, 221.2]; k=0.05094 [0.04138, 0.06051]; t0=-40.15 [-48.37, -31.92]"
wild_alignment_seed_avg NI_FBHcm_by_sex,avg NI_FBHcm,M,1,poly3,3924.152479600009,0.0,0.9677789372048755,578427.8263628066,565,,a3=8.875e-05; a2=-0.02553; a1=2.617; a0=146.5
wild_alignment_seed_avg NI_FBHcm_by_sex,avg NI_FBHcm,M,2,von_bertalanffy,3932.6542111502968,8.501731550287786,0.013792678603432754,589279.6827791486,565,,"A=253.8 [245.9, 261.6]; k=0.02772 [0.02146, 0.03398]; t0=-64.93 [-79.69, -50.18]"
wild_alignment_seed_avg NI_FBHcm_by_sex,avg NI_FBHcm,M,3,gompertz,3933.239487414099,9.087007814090157,0.010293367785243156,589890.42633148,565,✓,"A=253.1 [245.6, 260.6]; k=0.02944 [0.02301, 0.03587]; t0=-21.13 [-26.39, -15.88]"
wild_alignment_seed_avg NI_FBHcm_by_sex,avg NI_FBHcm,M,4,logistic,3934.9478271733215,10.795347573312483,0.004381231739351271,591676.7242108183,565,,"A=251.3 [244.6, 258.1]; k=0.03473 [0.02773, 0.04173]; t0=-10.79 [-14.43, -7.148]"
wild_alignment_seed_avg NI_FBHcm_by_sex,avg NI_FBHcm,M,5,richards,3935.2569578298953,11.104478229886354,0.003753784667097364,589908.6666683906,565,,"A=253 [241.7, 264.4]; k=0.02949 [0.005299, 0.05369]; t0=-21.01 [-74.53, 32.51]; nu=0.01 [-4.443, 4.463]"
wild_alignment_seed_avg NI_FBHcm_overall,avg NI_FBHcm,overall,1,poly3,11097.055041857042,0.0,0.9999998739955679,1447333.8090791742,1634,,a3=0.000124; a2=-0.03229; a1=2.785; a0=143.5
wild_alignment_seed_avg NI_FBHcm_overall,avg NI_FBHcm,overall,2,von_bertalanffy,11130.217340083393,33.162298226350686,6.293589053800813e-08,1478816.7368188794,1634,,"A=228.8 [225.7, 231.8]; k=0.04152 [0.0358, 0.04724]; t0=-46.42 [-53.14, -39.71]"
wild_alignment_seed_avg NI_FBHcm_overall,avg NI_FBHcm,overall,3,gompertz,11131.154739973268,34.099698116226136,3.938624536053418e-08,1479665.3539272023,1634,✓,"A=228.5 [225.5, 231.5]; k=0.04351 [0.03763, 0.04939]; t0=-17.43 [-20.3, -14.56]"
wild_alignment_seed_avg NI_FBHcm_overall,avg NI_FBHcm,overall,4,richards,11133.183075014733,36.12803315769088,1.4285558503188726e-08,1479691.012888451,1634,,"A=228.5 [224.6, 232.3]; k=0.04357 [0.02338, 0.06376]; t0=-17.36 [-40.93, 6.215]; nu=0.01 [-3.167, 3.187]"
wild_alignment_seed_avg NI_FBHcm_overall,avg NI_FBHcm,overall,5,logistic,11134.020848105243,36.96580624820126,9.396737803305555e-09,1482263.0298300425,1634,,"A=227.8 [225, 230.6]; k=0.04962 [0.04321, 0.05603]; t0=-10.87 [-13.04, -8.706]"
wild_alignment_seed_avg TOH_NIcm_by_sex,avg TOH_NIcm,F,1,von_bertalanffy,35037.7289348771,0.0,0.7884052886017996,2641685.124315104,5708,,"A=180.7 [179.6, 181.8]; k=0.04429 [0.04149, 0.04709]; t0=-39.08 [-41.88, -36.28]"
wild_alignment_seed_avg TOH_NIcm_by_sex,avg TOH_NIcm,F,2,gompertz,35040.97241405686,3.2434791797568323,0.1557531984725717,2643186.645959584,5708,✓,"A=180.4 [179.4, 181.5]; k=0.0466 [0.0437, 0.0495]; t0=-11.76 [-12.94, -10.58]"
wild_alignment_seed_avg TOH_NIcm_by_sex,avg TOH_NIcm,F,3,richards,35043.075394452535,5.3464595754339825,0.054422762549175614,2643234.3332164264,5708,,"A=180.4 [179, 181.8]; k=0.04667 [0.03766, 0.05568]; t0=-11.68 [-20.35, -3.021]; nu=0.01 [-1.151, 1.171]"
wild_alignment_seed_avg TOH_NIcm_by_sex,avg TOH_NIcm,F,4,poly3,35051.20145500463,13.472520127528696,0.0009358989380621657,2646999.9916956257,5708,,a3=9.754e-05; a2=-0.02686; a1=2.461; a0=102.9
wild_alignment_seed_avg TOH_NIcm_by_sex,avg TOH_NIcm,F,5,logistic,35052.52505195088,14.796117073776259,0.0004828514383908855,2648541.70908597,5708,,"A=179.8 [178.8, 180.8]; k=0.05363 [0.05041, 0.05686]; t0=-5.324 [-6.247, -4.401]"
wild_alignment_seed_avg TOH_NIcm_by_sex,avg TOH_NIcm,M,1,von_bertalanffy,22423.121620278216,0.0,0.6185221396798548,2214644.386785181,3471,,"A=214.5 [211.7, 217.2]; k=0.03046 [0.02834, 0.03258]; t0=-49.83 [-53.43, -46.22]"
wild_alignment_seed_avg TOH_NIcm_by_sex,avg TOH_NIcm,M,2,poly3,22424.68599737011,1.56437709189413,0.2829144177154964,2214366.4584386107,3471,,a3=6.14e-05; a2=-0.02129; a1=2.562; a0=102.6
wild_alignment_seed_avg TOH_NIcm_by_sex,avg TOH_NIcm,M,3,gompertz,22427.38721414645,4.265593868232827,0.07329820006338413,2217367.688593503,3471,✓,"A=213.6 [211, 216.2]; k=0.03279 [0.0306, 0.03498]; t0=-9.538 [-10.6, -8.471]"
wild_alignment_seed_avg TOH_NIcm_by_sex,avg TOH_NIcm,M,4,richards,22429.52129608961,6.399675811393536,0.025216412728359765,2217453.34538142,3471,,"A=213.5 [209.8, 217.3]; k=0.03286 [0.02543, 0.04029]; t0=-9.419 [-20.92, 2.086]; nu=0.01 [-0.9413, 0.9613]"
wild_alignment_seed_avg TOH_NIcm_by_sex,avg TOH_NIcm,M,5,logistic,22442.01511471708,18.893494438863854,4.882981290490476e-05,2226732.1013909383,3471,,"A=211.5 [209.2, 213.8]; k=0.03991 [0.03748, 0.04235]; t0=0.5354 [-0.3227, 1.394]"
wild_alignment_seed_avg TOH_NIcm_overall,avg TOH_NIcm,overall,1,poly3,60302.99765283961,0.0,0.9999999835731954,5647654.319234995,9428,,a3=0.000103; a2=-0.02865; a1=2.691; a0=100.5
wild_alignment_seed_avg TOH_NIcm_overall,avg TOH_NIcm,overall,2,von_bertalanffy,60338.85351450215,35.85586166254507,1.636811097603496e-08,5670376.701552438,9428,,"A=189.8 [188.8, 190.9]; k=0.04092 [0.03897, 0.04286]; t0=-39.98 [-42.07, -37.89]"
wild_alignment_seed_avg TOH_NIcm_overall,avg TOH_NIcm,overall,3,gompertz,60350.65055557108,47.65290273147548,4.4905924452633854e-11,5677476.355301329,9428,✓,"A=189.4 [188.4, 190.5]; k=0.04343 [0.04141, 0.04545]; t0=-10.2 [-10.97, -9.43]"
wild_alignment_seed_avg TOH_NIcm_overall,avg TOH_NIcm,overall,4,richards,60353.01215240964,50.01449957003206,1.378762312163e-11,5677694.110590957,9428,,"A=189.4 [188, 190.9]; k=0.04351 [0.03702, 0.04999]; t0=-10.12 [-16.73, -3.512]; nu=0.01 [-0.7597, 0.7797]"
wild_alignment_seed_avg TOH_NIcm_overall,avg TOH_NIcm,overall,5,logistic,60388.17891790712,85.18126506751287,3.185101691282591e-19,5700120.713677431,9428,,"A=188.4 [187.5, 189.4]; k=0.05112 [0.04886, 0.05339]; t0=-2.914 [-3.498, -2.329]"
wild_alignment_seed_avg TOO_TOHcm_by_sex,avg TOO_TOHcm,F,1,poly3,29709.76564129463,0.0,0.8415689112776773,1059328.924371731,5681,,a3=5.689e-07; a2=-0.0005133; a1=0.05277; a0=15.55
wild_alignment_seed_avg TOO_TOHcm_by_sex,avg TOO_TOHcm,F,2,von_bertalanffy,29713.828539072667,4.062897778036131,0.11036786485522594,1060460.06877911,5681,,"A=16.6 [16.18, 17.01]; k=0.1279 [-0.2002, 0.4561]; t0=-27.53 [-104.1, 49.03]"
wild_alignment_seed_avg TOO_TOHcm_by_sex,avg TOO_TOHcm,F,3,logistic,29717.21513178727,7.4494904926395975,0.020298006006847898,1061092.425231063,5681,,"A=32.9 [30.53, 35.27]; k=3.841e-10 [-0.00119, 0.00119]; t0=-48.92 [-1.406e+08, 1.406e+08]"
wild_alignment_seed_avg TOO_TOHcm_by_sex,avg TOO_TOHcm,F,4,gompertz,29717.215131804533,7.449490509901807,0.02029800583165368,1061092.4252342875,5681,✓,"A=44.72 [30.14, 59.29]; k=1.576e-10 [-0.0005944, 0.0005944]; t0=605.9 [605.9, 605.9]"
wild_alignment_seed_avg TOO_TOHcm_by_sex,avg TOO_TOHcm,F,5,richards,29719.21513368305,9.449492388419458,0.007467212028595342,1061092.4255851558,5681,,"A=35.34 [-1.789e+07, 1.789e+07]; k=3.058e-09 [-0.003727, 0.003727]; t0=867.1 [-8.457e+04, 8.63e+04]; nu=0.6733 [-2.042e+06, 2.042e+06]"
wild_alignment_seed_avg TOO_TOHcm_by_sex,avg TOO_TOHcm,M,1,richards,18535.902150307476,0.0,0.2958699130961262,744404.5900627391,3447,,"A=22.02 [21.33, 22.71]; k=0.2331 [-0.5516, 1.018]; t0=18.25 [-19.24, 55.74]; nu=17.07 [-49.43, 83.56]"
wild_alignment_seed_avg TOO_TOHcm_by_sex,avg TOO_TOHcm,M,2,logistic,18536.128590287542,0.22643998006606125,0.2641982808082637,744885.5611998755,3447,,"A=22.2 [21.39, 23]; k=0.06617 [0.03617, 0.09617]; t0=-8.215 [-14.78, -1.646]"
wild_alignment_seed_avg TOO_TOHcm_by_sex,avg TOO_TOHcm,M,3,gompertz,18536.710527427247,0.8083771197707392,0.19749856432109383,745011.3265510874,3447,✓,"A=22.24 [21.39, 23.08]; k=0.05797 [0.03077, 0.08517]; t0=-13.27 [-21.72, -4.813]"
wild_alignment_seed_avg TOO_TOHcm_by_sex,avg TOO_TOHcm,M,4,von_bertalanffy,18536.928537398788,1.026387091311335,0.17710208704643005,745058.4472457306,3447,,"A=22.25 [21.39, 23.12]; k=0.05536 [0.02902, 0.0817]; t0=-35.04 [-53.44, -16.64]"
wild_alignment_seed_avg TOO_TOHcm_by_sex,avg TOO_TOHcm,M,5,poly3,18538.92305200934,3.0209017018642044,0.0653311547280863,745057.2615966174,3447,,a3=9.458e-06; a2=-0.002932; a1=0.273; a0=14.48
wild_alignment_seed_avg TOO_TOHcm_overall,avg TOO_TOHcm,overall,1,poly3,49893.065409537776,0.0,0.6758628406209268,1917273.408271083,9376,,a3=9.629e-06; a2=-0.00245; a1=0.176; a0=14.98
wild_alignment_seed_avg TOO_TOHcm_overall,avg TOO_TOHcm,overall,2,richards,49896.25351554751,3.188106009736657,0.1372682653072706,1917925.446474982,9376,,"A=18.36 [18.01, 18.72]; k=0.8575 [-14.54, 16.26]; t0=18.3 [-62.86, 99.47]; nu=100 [-1728, 1928]"
wild_alignment_seed_avg TOO_TOHcm_overall,avg TOO_TOHcm,overall,3,logistic,49897.69137315115,4.625963613376371,0.06688724894766564,1918628.812893742,9376,,"A=18.36 [17.99, 18.74]; k=0.09377 [0.03234, 0.1552]; t0=-14.79 [-26.71, -2.859]"
wild_alignment_seed_avg TOO_TOHcm_overall,avg TOO_TOHcm,overall,4,gompertz,49897.87731778293,4.8119082451521535,0.06094891378700925,1918666.863476697,9376,✓,"A=18.36 [17.98, 18.74]; k=0.08954 [0.03007, 0.149]; t0=-16.68 [-29.79, -3.567]"
wild_alignment_seed_avg TOO_TOHcm_overall,avg TOO_TOHcm,overall,5,von_bertalanffy,49897.9412057347,4.875796196924057,0.059032731337127706,1918679.93729428,9376,,"A=18.36 [17.98, 18.75]; k=0.08805 [0.02928, 0.1468]; t0=-29.84 [-51.59, -8.083]"
wild_avg NI_FBHcm_by_sex,avg NI_FBHcm,F,1,von_bertalanffy,6545.385039165304,0.0,0.28493169815698555,703492.8526649091,997,,"A=220.2 [216.9, 223.4]; k=0.04476 [0.03673, 0.05279]; t0=-44.66 [-53.34, -35.99]"
wild_avg NI_FBHcm_by_sex,avg NI_FBHcm,F,2,gompertz,6545.395987969793,0.010948804489089525,0.283376129219008,703500.5782897801,997,✓,"A=220 [216.8, 223.2]; k=0.04655 [0.03832, 0.05478]; t0=-17.95 [-22.01, -13.9]"
wild_avg NI_FBHcm_by_sex,avg NI_FBHcm,F,3,logistic,6545.629954772214,0.24491560690967162,0.2520913930264835,703665.6887162866,997,,"A=219.5 [216.5, 222.5]; k=0.05203 [0.04318, 0.06089]; t0=-12.22 [-15.45, -8.99]"
wild_avg NI_FBHcm_by_sex,avg NI_FBHcm,F,4,richards,6547.396880919133,2.011841753828776,0.10420171824335346,703501.2083706807,997,,"A=220 [215.9, 224.1]; k=0.04661 [0.01973, 0.07348]; t0=-17.89 [-47.03, 11.24]; nu=0.01 [-4.503, 4.523]"
wild_avg NI_FBHcm_by_sex,avg NI_FBHcm,F,5,poly3,6548.043948505113,2.6589093398088153,0.07539906135416949,703957.9391434891,997,,a3=8.467e-05; a2=-0.02489; a1=2.37; a0=145
wild_avg NI_FBHcm_by_sex,avg NI_FBHcm,M,1,poly3,3869.573110503298,0.0,0.9963866478970024,525165.3291173158,565,,a3=9.628e-05; a2=-0.02735; a1=2.755; a0=142.9
wild_avg NI_FBHcm_by_sex,avg NI_FBHcm,M,2,von_bertalanffy,3882.376141010164,12.80303050686598,0.0016530467982199958,539106.5216174854,565,,"A=253.8 [246.5, 261.1]; k=0.02814 [0.02231, 0.03397]; t0=-62.65 [-75.8, -49.5]"
wild_avg NI_FBHcm_by_sex,avg NI_FBHcm,M,3,gompertz,3883.098377486841,13.525266983543133,0.001152002682905989,539796.0992470989,565,✓,"A=253 [246, 260]; k=0.02997 [0.02397, 0.03597]; t0=-19.41 [-24.01, -14.81]"
wild_avg NI_FBHcm_by_sex,avg NI_FBHcm,M,4,richards,3885.120120376816,15.547009873518164,0.0004192157589339631,539816.8726152949,565,,"A=253 [242.4, 263.6]; k=0.03002 [0.007414, 0.05263]; t0=-19.29 [-66.98, 28.39]; nu=0.01 [-3.959, 3.979]"
wild_avg NI_FBHcm_by_sex,avg NI_FBHcm,M,5,logistic,3885.2692865937074,15.696176090409608,0.0003890868629376325,541874.1566986945,565,,"A=251.2 [244.9, 257.4]; k=0.03559 [0.02901, 0.04216]; t0=-9.096 [-12.31, -5.881]"
wild_avg NI_FBHcm_by_vtb_umb,avg NI_FBHcm,Umb=0,1,gompertz,10779.007021075748,0.0,1.0,1363083.781416193,1596,✓,"A=231.3 [228.1, 234.6]; k=0.03785 [0.03284, 0.04286]; t0=-19.26 [-22.31, -16.22]"
wild_avg NI_FBHcm_by_vtb_umb,avg NI_FBHcm,Umb>0,1,gompertz,219.88113383452549,0.0,1.0,10572.769398788389,38,✓,"A=210.8 [166.3, 255.2]; k=0.05861 [0.003335, 0.1139]; t0=-11.28 [-18.03, -4.531]"
wild_avg NI_FBHcm_overall,avg NI_FBHcm,overall,1,poly3,10981.184603681832,0.0,0.9999999085325942,1348254.7396352317,1634,,a3=0.0001132; a2=-0.02996; a1=2.698; a0=141.5
wild_avg NI_FBHcm_overall,avg NI_FBHcm,overall,2,von_bertalanffy,11014.59024502376,33.40564134192937,5.572590248718987e-08,1377787.6351362534,1634,,"A=231.5 [228.2, 234.8]; k=0.03663 [0.03184, 0.04142]; t0=-51.49 [-58.47, -44.51]"
wild_avg NI_FBHcm_overall,avg NI_FBHcm,overall,3,gompertz,11016.212294580668,35.02769089883623,2.4764725853479714e-08,1379156.0252450404,1634,✓,"A=231.1 [227.9, 234.3]; k=0.03852 [0.0336, 0.04345]; t0=-18.54 [-21.38, -15.7]"
wild_avg NI_FBHcm_overall,avg NI_FBHcm,overall,4,richards,11018.261272918744,37.076669236912494,8.890036249021708e-09,1379197.365381176,1634,,"A=231.1 [226.8, 235.5]; k=0.03858 [0.02138, 0.05578]; t0=-18.45 [-43.19, 6.28]; nu=0.01 [-2.869, 2.889]"
wild_avg NI_FBHcm_overall,avg NI_FBHcm,overall,5,logistic,11021.159928204015,39.975324522183655,2.0867409281630353e-09,1383338.3384505308,1634,,"A=230.2 [227.2, 233.1]; k=0.04432 [0.03897, 0.04968]; t0=-11 [-13.1, -8.905]"
wild_avg NI_FBHcm_sex_unknown,avg NI_FBHcm,overall,1,von_bertalanffy,410.98321270448025,0.0,0.2654654508583495,19958.950376475805,72,,"A=183.3 [69.81, 296.7]; k=0.1133 [-0.233, 0.4596]; t0=-19.22 [-65.57, 27.12]"
wild_avg NI_FBHcm_sex_unknown,avg NI_FBHcm,overall,2,gompertz,410.9870595405612,0.0038468360809247315,0.2649553405559925,19960.016777330835,72,✓,"A=182.4 [75.7, 289.1]; k=0.1205 [-0.2245, 0.4655]; t0=-8.586 [-21.78, 4.608]"
wild_avg NI_FBHcm_sex_unknown,avg NI_FBHcm,overall,3,logistic,410.9990611521072,0.01584844762692228,0.26337015596803887,19963.344170862794,72,,"A=180.1 [89.4, 270.9]; k=0.1423 [-0.1993, 0.4839]; t0=-6.314 [-12.5, -0.1285]"
wild_avg NI_FBHcm_sex_unknown,avg NI_FBHcm,overall,4,poly3,412.7682054168994,1.7849927124191254,0.10874311388988527,19899.437615912226,72,,a3=0.04477; a2=-1.006; a1=9.075; a0=124.8
wild_avg NI_FBHcm_sex_unknown,avg NI_FBHcm,overall,5,richards,412.9871761705499,2.0039634660696493,0.09746593872773385,19960.04910980883,72,,"A=182.4 [-227.8, 592.5]; k=0.1207 [-3.191, 3.432]; t0=-8.559 [-405.6, 388.5]; nu=0.01 [-148.3, 148.4]"
