dataset,group,n_obs,slope_cm_per_year,intercept_cm,p_value,r_squared,slope_stderr
wild,overall,291,16.383773738868673,286.86751817024845,9.284346104764486e-09,0.1080389513000133,2.7691583127259753
wild,sex=F,163,2.674678627413315,391.91376203923056,0.3384572028121676,0.0056925246917530915,2.7859066504650194
wild,sex=M,128,16.600805495421877,317.2623888073103,7.193042085141864e-05,0.1180029035091198,4.043254882011429
