AID,Sex,n_obs,model_y0free,AIC_free,A_free,k_free,t0_free,model_y0fixed,AIC_fixed,A_fixed,k_fixed,y0_fixed
80.0,F,4,gompertz,27.13126227070635,733191.1558912472,0.000101740349591003,19967.03749473701,gompertz_fixed_y0,27.777183440458874,394.97608956018763,0.04445041753447106,180.00999999996955
148.0,F,5,gompertz,33.97614098259858,4431619.057047892,0.0003896344962924389,5782.574495619653,gompertz_fixed_y0,39.87486769318666,377.1269554598904,1.3033627429822543,180.00999987760966
166.0,F,4,gompertz,30.531114011870102,1483186.2366105784,0.00044191043396621155,4838.930864519111,gompertz_fixed_y0,30.60278360437538,471.68717696272836,0.024460723339427823,180.00999999997057
168.0,F,4,gompertz,25.65512721175445,6163219.122509465,6.704334414665871e-05,33991.20816028261,gompertz_fixed_y0,26.763227609747243,381.81467263092577,0.05066073733616408,180.00999999999996
286.0,F,5,gompertz,46.442293187676476,394.60001557154135,53.63475803506206,-158.52330603653834,gompertz_fixed_y0,46.44229318836602,394.599329652058,0.5126159517721927,180.00096002959023
287.0,F,4,gompertz,20.25530807022175,459.19604217735684,0.028601526975406376,-24.683564907472604,gompertz_fixed_y0,27.641458683863288,393.45637709390917,0.18761181980235447,180.00999999991384
290.0,F,4,gompertz,28.091185810856313,2481405.023868778,0.0005671151124519338,3874.8740032638507,gompertz_fixed_y0,32.34995028316347,335.30011120900093,2.89829690562061,180.00999844443243
291.0,F,7,gompertz,44.24526201686126,405.991687606845,0.12298142994610092,47.23368133786159,gompertz_fixed_y0,45.597789281700344,427.7282054857067,0.028166470694902843,179.990000003375
292.0,F,5,gompertz,25.738649299788246,453.01994394641974,4.117751158610103,-12.363417080585906,gompertz_fixed_y0,25.38565709927498,456.51741344534975,0.07337414101089408,179.99000000000038
293.0,F,4,gompertz,30.48570349428902,9363340.596306428,0.0005752456310105847,4081.1247064408753,gompertz_fixed_y0,30.65978427987611,664.9456729144227,0.01400520396415339,180.00999999999993
299.0,F,7,gompertz,42.97688430391393,420.27629457745724,0.07075581883282044,-10.721923104146931,gompertz_fixed_y0,54.4638762573009,402.14345203601994,0.16496053274094602,180.00999999999996
300.0,M,5,gompertz,32.92169981029762,5241393.605163929,0.0003363903717181776,6727.770241027952,gompertz_fixed_y0,33.66005995621323,524.8495267575214,0.02567853707214799,180.00999999999848
301.0,F,4,gompertz,30.001452504262524,429.4488878452219,0.1769340214713924,50.476199392366965,gompertz_fixed_y0,30.376136823981827,439.133330455309,0.03413640673410928,179.9900000000002
303.0,F,5,gompertz,20.375844401267585,1218707.6988605207,7.720317584317871e-05,27061.678846794268,gompertz_fixed_y0,21.052102141326422,402.21551919306864,0.054751079948370016,180.0099999999978
306.0,F,4,gompertz,36.23356880973813,427.34999762171043,0.6486152056348303,11.334842203782168,gompertz_fixed_y0,36.32831066235343,426.609658765548,0.13204659943821698,179.99000000220425
308.0,F,7,gompertz,55.268556606755915,425.7916664086573,4.542231177357915,59.60858411385726,gompertz_fixed_y0,57.96921279636561,416.335714289932,0.39297390628962925,180.00083773126178
309.0,F,5,gompertz,19.341138534575173,435.06000000000154,1.9054542976591071,18.195423092959743,gompertz_fixed_y0,19.341138535766106,435.05994140553037,1.029184767727342,180.00038296144956
310.0,F,4,gompertz,31.50035054910329,406.3250000799593,0.8430826258833507,-7.662857476930668,gompertz_fixed_y0,27.489410464619752,476.5407607313296,0.021646662112676702,179.99000000000015
314.0,F,7,gompertz,64.66877905226815,4411393.181773502,0.0007287909818634161,3125.8193276668867,gompertz_fixed_y0,64.93097471041803,1001.5635627213505,0.009298245952614284,180.00999999999928
318.0,F,5,gompertz,38.01120712260003,426.6003254046291,2.742722554365486,59.14314542824883,gompertz_fixed_y0,39.69073494740262,418.874585313021,0.1397127215930257,179.9989621610223
319.0,F,4,gompertz,40.95795264941599,84636.42832529098,0.0001855715582652394,9184.74968805603,gompertz_fixed_y0,40.9885793929278,374.4167465406439,0.6417894714105855,180.00753141844845
320.0,F,4,gompertz,38.02874314150637,603.700227855866,0.02565185723385519,-14.5876815760137,gompertz_fixed_y0,38.17027263702326,500.01034724571673,0.07907654813890953,180.0099999988591
321.0,F,4,gompertz,31.10171060343122,459.4172133387637,0.13903560960084838,41.870971120931266,gompertz_fixed_y0,31.55226013005729,466.0632018007995,0.04190550898149613,179.99000000055474
