file,AID,MinAge,Sex,VTB_Umb,survey index,SurveyDate(M/D/Y),avg TOO_TOHcm,SD TOO_TOHcm,# TOO_TOH,avg TOO_NIcm,SD TOO_NIcm,avg TOH_NIcm,SD TOH_NIcm,# TOH_NI,avg NI_FBHcm,SD NI_FBHcm,# NI_FBH,avg TOO_FBHcm,SD TOO_FBHcm,avg TOH_FBHcm,SD TOH_FBHcm,,,,,
2014Oct_IMG_7755.JPG,2400,C,F,1,9.2,10/4/2014,9.7,1.6,5,90.4,3.4,82.7,2.9,5,,,,,,,,,,,,
2015Jan_IMG_8838.JPG,2462,C,M,1,10.1,1/19/2015,12.0,4.7,3,76.3,0.9,69.7,0.8,3,,,,,,,,,,,,
2015Jan_IMG_8839.JPG,2462,C,M,1,10.1,1/19/2015,7.6,1.0,3,76.7,2.0,69.5,2.4,3,,,,186.6,2.1,179.6,1.5,,,,,
2015Jan_IMG_8846.JPG,2462,C,M,1,10.1,1/19/2015,8.5,1.9,3,76.5,2.4,68.5,1.0,3,,,,,,,,,,,,
2015Jan_IMG_8991.JPG,2468,C,,1,10.1,1/19/2015,11.2,2.5,3,89.9,7.4,81.1,5.9,3,,,,,,,,,,,,
2015Jun_383A2207.JPG,2564,C,F,1,11.2,6/3/2015,8.4,0.8,5,86.0,1.0,78.9,0.9,5,,,,,,,,,,,,
2015Jun_383A2208.JPG,2564,C,F,1,11.2,6/3/2015,8.7,0.6,3,87.2,2.8,80.0,1.7,3,,,,,,,,,,,,
2015May_383A0388.JPG,2593,C,M,1,11.1,5/21/2015,9.7,1.9,6,93.9,1.7,85.0,2.2,6,,,,,,,,,,,,
2015Jun_383A3309.JPG,2596,C,,1,11.2,6/3/2015,18.5,5.3,5,128.5,74.3,118.0,78.4,5,,,,,,,,,,,,
2015May_383A0337.JPG,2609,C,F,1,11.1,5/21/2015,11.4,0.9,3,86.1,3.3,75.8,3.6,3,,,,,,,,,,,,
2016Sep_383A3966.JPG,2886,C,M,1,15.1,9/23/2016,10.1,1.6,3,82.6,3.7,75.7,2.6,4,124.9,0.4,3,203.2,0.6,195.6,1.9,,,,,
2012Jan.IMG_8610.JPG,1,A,M,,1.1,1/25/2012,18.3,2.1,6,229.8,9.6,215.8,8.5,6,,,,,,,,,,,,
2014_Jun_IMG_4819.JPG,1,A,M,,8.2,6/4/2014,19.0,5.0,5,219.2,21.0,203.5,27.8,5,,,,,,,,,,,,
2014Sept_IMG_6237.JPG,1,A,M,,9.1,9/20/2014,17.9,1.4,5,242.2,1.9,227.0,2.1,5,,,,,,,,,,,,
2015Feb_IMG_0674.JPG,1,A,M,,10.2,2/6/2015,21.4,5.7,3,209.9,9.7,196.3,13.1,3,,,,,,,,,,,,
2012FEB.IMG_0007.JPG,2,,,,1.2,2/7/2012,22.9,16.5,3,149.9,10.7,142.9,1.2,3,,,,,,,,,,,,
2012May.IMG_2662.JPG,3,A,M,,2.1,5/20/2012,19.2,5.0,4,212.1,4.2,198.3,4.7,4,,,,475.7,10.5,458.2,8.9,,,,,
2012Jun.IMG_3884.JPG,3,A,M,,2.2,6/15/2012,13.7,1.4,5,203.1,9.4,192.4,8.4,5,,,,428.7,20.5,416.0,17.8,,,,,
2013Jan.IMG_8085.JPG,3,A,M,,4.1,1/21/2013,16.3,1.5,3,223.6,2.0,211.0,1.4,3,,,,,,,,,,,,
2015Sep_383A2691.JPG,3,A,M,,12.1,9/14/2015,17.5,1.9,6,221.5,16.2,204.3,17.5,6,,,,,,,,,,,,
2015oct_383A3913.JPG,3,A,M,,12.2,10/27/2015,19.5,8.8,5,219.9,2.1,207.7,9.4,5,,,,,,,,,,,,
2012Jan.IMG_8623.JPG,4,A,M,,1.1,1/25/2012,18.6,3.7,8,229.2,15.4,214.2,15.2,9,,,,,,,,,,,,
2013May.IMG_2720.JPG,4,A,M,,5.1,5/18/2013,19.7,4.9,5,231.0,9.2,213.5,12.4,5,,,,413.6,22.0,390.5,27.4,,,,,
2016May_383A1010.JPG,4,A,M,,14.1,5/14/2016,22.1,5.1,3,254.6,6.6,246.2,9.0,3,,,,,,,,,,,,
2013Jan.IMG_8126.JPG,5,A,M,,4.1,1/21/2013,17.5,0.4,3,207.1,2.9,197.5,3.1,3,,,,,,,,,,,,
2014May_IMG_3226.JPG,5,A,M,,8.1,5/19/2014,63.2,97.4,5,211.3,15.2,210.6,30.0,5,,,,,,,,,,,,
2018June_8994.JPG,5,A,M,,20.2,6/6/2018,14.9,1.8,5,222.9,3.3,211.6,6.3,5,,,,,,,,,,,,
2012Jan.IMG_8681.JPG,6,A,M,,1.1,1/25/2012,21.2,4.2,5,222.1,3.8,204.8,5.4,5,,,,,,,,,,,,
2012FEB.IMG_9990.JPG,6,A,M,,1.2,2/7/2012,21.3,2.3,5,236.8,3.0,216.1,2.0,5,,,,,,,,,,,,
2012FEB.IMG_9991.JPG,6,A,M,,1.2,2/7/2012,,,,,,229.2,3.7,4,,,,,,,,,,,,
2013oct.IMG_6886.JPG,6,A,M,,6.2,10/5/2013,16.6,5.1,5,233.6,1.1,218.0,5.3,5,258.6,1.6,5,492.1,2.7,476.5,6.6,,,,,
2014FebIMG_0860.JPG,6,A,M,,7.2,2/9/2014,17.8,1.6,5,122.6,9.3,117.5,8.3,4,,,,,,,,,,,,
2014FebIMG_0862.JPG,6,A,M,,7.2,2/9/2014,16.2,2.8,4,232.7,2.8,218.8,3.6,4,,,,,,,,,,,,
2014May_IMG_2567.JPG,6,A,M,,8.1,5/19/2014,18.8,3.8,3,219.3,2.5,204.5,3.3,3,,,,,,,,,,,,
2015Jan_IMG_8682.JPG,6,A,M,,10.1,1/19/2015,20.7,3.3,5,233.0,3.4,222.2,7.3,5,,,,,,,,,,,,
2015Jan_IMG_9468.JPG,6,A,M,,10.1,1/19/2015,19.8,1.4,4,227.8,1.9,214.3,6.8,4,,,,,,,,,,,,
2015Sep_383A2441.JPG,6,A,M,,12.1,9/14/2015,18.4,5.3,3,193.4,2.8,179.1,5.6,3,,,,,,,,,,,,
2016Jun_383A2361.JPG,6,A,M,,14.2,6/12/2016,19.7,3.8,4,215.2,0.3,200.5,5.2,4,,,,,,,,,,,,
2012FEB.IMG_0022.JPG,8,A,M,,1.2,2/7/2012,17.5,2.4,5,184.4,2.4,169.0,5.6,5,,,,,,,,,,,,
2012FEB.IMG_9989.JPG,8,A,M,,1.2,2/7/2012,18.6,2.5,4,185.3,2.4,173.5,7.9,4,,,,,,,,,,,,
2012Jun.IMG_3976.JPG,8,A,M,,2.2,6/15/2012,22.2,2.9,4,157.1,57.8,132.8,67.5,4,,,,,,,,,,,,
2013May.IMG_2859.JPG,8,A,M,,5.1,5/18/2013,28.4,18.1,4,214.3,5.0,187.5,15.0,4,,,,,,,,,,,,
2014JanIMG_9993.JPG,8,A,M,,7.1,1/19/2014,16.6,1.6,5,194.8,4.8,181.4,5.0,5,,,,,,,,,,,,
2014_Jun_IMG_4579.JPG,8,A,M,,8.2,6/4/2014,21.8,7.6,5,218.4,5.1,201.6,5.7,5,,,,,,,,,,,,
2014_Jun_IMG_4581.JPG,8,A,M,,8.2,6/4/2014,19.2,2.6,5,218.8,11.1,201.2,9.3,5,,,,,,,,,,,,
2016Jan_383A7650.JPG,8,A,M,,13.1,1/21/2016,20.3,4.8,3,254.9,61.4,243.5,65.4,3,,,,,,,,,,,,
2016Jan_383A8017.JPG,8,A,M,,13.1,1/21/2016,16.3,2.7,5,220.6,8.6,212.4,8.8,5,,,,,,,,,,,,
2016May_383A1118.JPG,8,A,M,,14.1,5/14/2016,19.2,3.0,5,224.4,17.5,208.4,18.6,5,,,,,,,,,,,,
2012FEB.IMG_0026.JPG,9,A,M,,1.2,2/7/2012,21.1,3.0,4,194.3,3.2,182.8,5.4,4,,,,,,,,,,,,
2013Jun.IMG_4661.JPG,9,A,M,,5.2,6/5/2013,19.5,7.0,5,208.7,28.3,198.0,24.7,5,,,,,,,,,,,,
2013sep.IMG_5578.JPG,9,A,M,,6.1,9/22/2013,17.7,2.4,5,202.4,2.4,186.3,4.5,5,,,,435.9,2.9,418.4,0.7,,,,,
2014JanIMG_9900.JPG,9,A,M,,7.1,1/19/2014,16.6,1.9,5,210.6,1.8,197.2,2.6,5,,,,,,,,,,,,
2014FebIMG_1899.JPG,9,A,M,,7.2,2/9/2014,30.8,29.0,4,205.2,22.4,191.8,5.5,5,,,,319.5,9.8,303.0,10.1,,,,,
2014Sept_IMG_6598.JPG,9,A,M,,9.1,9/20/2014,17.7,4.7,4,208.7,1.5,200.1,3.5,4,,,,,,,,,,,,
2015Jan_IMG_9857.JPG,9,A,M,,10.1,1/19/2015,20.1,6.4,3,209.3,3.6,193.9,2.4,3,,,,,,,,,,,,
2018Feb_383A6526.JPG,9,A,M,,19.2,2/3/2018,17.7,1.6,5,200.1,1.1,190.4,4.6,5,,,,,,,,,,,,
2018June_9490.JPG,9,A,M,,20.2,6/6/2018,15.6,2.2,3,198.9,40.3,203.4,1.3,3,,,,,,,,,,,,
2012Oct.IMG_6805.JPG,10,A,M,,3.2,10/9/2012,17.7,3.8,8,217.3,6.5,204.4,10.6,8,,,,,,,,,,,,
2014_Jun_IMG_4566.JPG,10,A,M,,8.2,6/4/2014,13.4,3.1,5,234.4,5.0,224.0,6.4,5,,,,445.3,6.2,436.8,7.9,,,,,
2016May_383A0742.JPG,10,A,M,,14.1,5/14/2016,17.9,5.9,4,171.2,3.2,170.8,2.8,4,,,,,,,,,,,,
2016Oct_383A4986.JPG,10,A,M,,15.2,10/4/2016,16.2,3.3,3,245.3,6.2,230.5,7.1,3,,,,,,,,,,,,
2016Oct_383A4991.JPG,10,A,M,,15.2,10/4/2016,21.4,6.8,5,225.4,16.4,209.6,13.5,5,250.6,22.0,4,444.7,8.8,426.3,12.2,,,,,
2016Oct_383A4992.JPG,10,A,M,,15.2,10/4/2016,17.3,0.8,4,220.8,2.3,203.5,2.0,4,251.3,2.3,4,454.3,0.9,437.7,1.0,,,,,
2012FEB.IMG_9982.JPG,11,A,M,,1.2,2/7/2012,19.1,2.0,4,196.8,3.3,180.5,4.7,4,,,,,,,,,,,,
2012May.IMG_2633.JPG,11,A,M,,2.1,5/20/2012,18.4,2.2,5,180.4,7.2,165.3,5.9,5,,,,,,,,,,,,
2012May.IMG_2677.JPG,11,A,M,,2.1,5/20/2012,19.5,6.0,3,189.6,9.0,174.7,10.1,4,,,,,,,,,,,,
2012Jun.IMG_3878.JPG,11,A,M,,2.2,6/15/2012,24.8,4.7,7,198.9,7.3,188.5,7.7,7,,,,414.0,8.2,405.6,5.9,,,,,
2013oct.IMG_7060.JPG,11,A,M,,6.2,10/5/2013,18.1,1.8,4,203.8,4.9,186.3,6.1,4,,,,,,,,,,,,
2015Jan_IMG_9025.JPG,11,A,M,,10.1,1/19/2015,17.1,5.6,3,185.9,40.6,174.6,36.4,3,,,,,,,,,,,,
2015Jun_383A3288.JPG,11,A,M,,11.2,6/3/2015,18.7,1.2,3,212.5,2.3,194.5,3.1,3,,,,,,,,,,,,
2016Feb_383A9097.JPG,11,A,M,,13.2,2/4/2016,20.8,1.4,4,219.8,9.6,202.3,10.5,4,,,,,,,,,,,,
2016Feb_383A9098.JPG,11,A,M,,13.2,2/4/2016,18.8,4.3,4,216.2,7.8,201.3,7.8,4,,,,,,,,,,,,
2017Jan_383A6762.JPG,11,A,M,,16.1,1/22/2017,20.2,7.6,6,226.4,19.0,209.9,23.5,6,,,,,,,,,,,,
2017Feb_383A7783.JPG,11,A,M,,16.2,2/11/2017,16.6,1.1,3,222.3,2.5,207.3,1.8,3,,,,,,,,,,,,
